Anchor_0,Anchor_1,Anchor_2,Anchor_3,Anchor_4
29.6458,6.57813,29.7836,3.02157,0.205162
29.6353,6.58724,29.7836,3.04757,0.191765
29.5934,6.56158,29.7836,2.91969,0.164654
29.5421,6.62458,29.7836,3.00083,0.341758
29.5117,6.64648,29.7836,3.01175,0.0426662
29.5051,6.54918,29.7836,3.02517,0.178577
29.5606,6.46476,29.7836,3.14917,0.379023
29.4987,6.64222,29.7836,2.92963,0.143591
29.447,6.55522,29.7836,3.12536,0.402262
29.4605,6.55809,29.7836,3.18841,0.396515
29.525,6.51801,29.7836,3.06084,0.495127
29.4777,6.43304,29.7836,2.81664,0.363478
29.4807,6.59411,29.7836,2.85969,0.365538
29.5146,6.44051,29.7836,3.07087,0.587429
29.4862,6.59557,29.7836,2.62357,0.646853
29.5604,6.36173,29.7836,2.99437,0.451014
29.4877,6.62813,6.58122,2.8616,0.21607
29.4605,6.46412,6.58122,2.8986,0.193232
29.4809,6.65428,6.58122,3.14464,0.386185
29.5242,6.63677,6.58122,3.05415,0.18811
29.5688,6.57585,6.58122,3.1195,0.161892
29.4636,6.49218,6.58122,2.83729,0.470609
29.4702,6.68283,6.58122,3.04415,0.335418
29.4038,6.66464,6.53883,3.05315,0.354808
29.4477,6.66604,6.53817,3.17824,0.541779
29.4975,6.4059,6.54707,3.28582,0.496681
29.3591,6.46103,6.58889,2.90569,0.414393
29.5161,6.37059,6.5356,2.89214,0.43273
29.4731,6.57107,6.51286,3.0925,0.380278
29.4967,6.46061,6.55283,2.92563,0.377533
29.4372,6.63902,6.70653,2.8476,0.491379
29.4619,6.79526,6.53395,2.94909,0.0488135
29.4833,6.45013,6.4833,3.11895,0.372551
29.3251,6.40912,6.49114,2.92742,0.427412
29.3498,6.52177,6.47149,2.98803,0.181339
29.4365,6.60783,6.53395,2.90195,0.39676
29.3339,6.92902,6.51371,3.24,0.392315
29.3075,6.47986,6.44076,3.28506,0.43272
29.3242,6.68267,6.38598,2.79959,0.181842
29.3393,6.24497,6.48106,2.6748,0.470125
29.2846,6.61369,6.5261,3.20515,0.202469
29.2745,6.27361,6.47615,2.58918,0.266663
29.2777,6.57466,6.43552,2.81488,0.237949
29.2945,6.31459,6.46431,3.21283,0.153045
29.3144,6.4692,6.50759,2.85417,0.309076
29.3085,6.29142,6.54256,2.90031,0.201273
29.3624,6.37411,6.37417,3.17107,0.358026
29.2645,6.32932,6.40054,2.69199,0.247036
29.2308,6.35944,6.50197,2.81356,0.430082
29.2311,6.61869,6.57997,2.61515,0.274324
29.3453,6.34021,6.46476,2.87311,0.563391
29.3545,6.31683,6.42254,3.26659,0.534727
29.3646,6.34923,6.44362,2.89504,0.338275
29.2848,6.33487,6.37513,2.91664,0.211788
29.2861,6.27958,6.44244,2.80954,0.276573
29.3164,6.79248,6.42111,2.76015,0.28191
29.161,6.59129,6.44067,2.78772,0.0617574
29.3607,6.67483,6.53925,3.15421,0.218215
29.2011,6.21004,6.39511,3.23418,0.706638
29.1777,6.34023,6.37209,3.02837,0.621731
29.1918,6.22786,6.60256,2.76752,0.684135
29.1698,6.36957,6.60357,3.36138,0.427071
29.1374,6.13377,6.57786,2.94634,0.271569
29.0839,6.11101,6.49067,2.88921,0.424917
29.1283,6.30121,6.54814,3.20203,0.58695
29.2031,6.18503,6.70861,3.16166,0.346077
29.1608,6.13403,6.44,2.9582,0.376301
29.1603,6.1554,6.72725,2.65879,0.310289
29.1109,6.21631,6.40256,2.69799,0.0509669
29.075,6.13751,6.54153,2.90476,0.0834521
Anchor_0,Anchor_1,Anchor_2,Anchor_3,Anchor_4
29.8936,6.58122,29.7836,2.93684,0.25
30.0344,6.58122,29.7836,2.93684,0.25
29.8936,6.58122,29.7836,2.93684,0.25
30.0344,6.58122,29.7836,2.93684,0.268817
29.8936,6.58122,29.7836,2.93684,0.271811
29.8936,6.58122,29.7836,2.93684,0.217896
29.8936,6.58122,29.7836,2.90138,0.205773
29.8936,6.58122,29.7836,2.93881,0.370013
29.8936,6.58122,29.7836,2.88873,0.137413
29.8936,6.58122,29.7836,2.93864,0.197105
29.8936,6.58122,29.7836,2.94947,0.282931
29.8936,6.58122,29.7836,2.93792,0.130469
29.8936,6.58122,29.7836,2.84778,0.378576
29.8936,6.58122,29.7836,2.88505,0.493399
29.8936,6.58122,29.7836,2.81343,0.320865
29.8936,6.58122,29.7836,2.85475,0.332566
29.8936,6.58122,29.7836,2.93637,0.233657
29.8936,6.58122,29.7836,2.88569,0.323712
29.8936,6.58122,29.7836,2.86599,0.239938
29.8399,6.58122,29.7836,2.89034,0.172911
29.796,6.58122,29.7836,2.88579,0.151039
29.8236,6.58122,29.7836,2.85341,0.559033
29.7047,6.6132,29.7836,2.86066,0.4385
29.6675,6.56907,29.7836,2.76438,0.367654
29.6614,6.51584,29.7836,2.76648,0.327465
29.6634,6.56594,29.7836,2.76885,0.436895
29.682,6.6417,29.7836,2.69266,0.26973
29.596,6.63545,29.7262,2.69905,0.325932
29.5979,6.74856,6.50334,2.65046,0.397124
29.6383,6.61725,6.52467,2.89616,0.554883
29.6308,6.67466,6.49719,2.93569,0.196575
29.6337,6.43268,6.71707,2.7051,0.146131
29.6441,6.73737,6.49963,2.77938,0.375197
29.5965,6.45767,6.51709,2.57355,0.237734
29.7674,6.63607,6.53736,2.94009,0.467508
29.6799,6.3574,6.53773,2.64541,0.484049
29.529,6.43871,6.57582,2.7865,0.228761
29.5909,6.55333,6.62602,3.10646,0.500151
29.647,6.80243,6.5847,2.75325,0.494779
29.5295,6.65586,6.67009,2.99793,0.377704
29.6367,6.42789,6.50088,2.92499,0.440555
29.5656,6.78192,6.52982,3.14226,0.425161
29.4346,6.4442,6.47632,2.88436,0.401788
29.5597,6.53926,6.62015,3.16813,0.273479
29.5837,6.5285,6.70163,2.77543,0.418795
29.553,6.43495,6.68055,2.97673,0.481371
29.4938,6.52459,6.3405,2.83311,0.640088
29.514,6.46651,6.60548,2.99449,0.269048
29.5286,6.59427,6.57889,3.05314,0.48736
29.5548,6.42947,6.63359,2.92501,0.483468
29.5997,6.03821,6.392,2.95745,0.613584
29.5644,6.37063,6.3434,2.81304,0.650304
29.6818,6.50786,6.62685,2.69019,0.55029
29.5999,6.5092,6.66304,2.78755,0.578452
29.669,6.55584,6.65384,3.02571,0.0618046
29.5462,6.5333,6.65943,2.82466,0.641932
29.5891,6.66359,6.65799,3.14323,0.0621185
29.4579,6.41032,6.66954,3.11857,0.463246
29.5783,6.75841,6.43992,2.78753,0.220158
29.518,6.74976,6.43789,2.79621,0.536467
29.4762,6.68372,6.7568,3.02814,0.325198
29.5577,6.67762,6.82633,2.82946,0.392684
29.4256,5.96087,6.54952,3.16537,0.636077
29.5343,6.51935,6.80159,2.77418,0.442892
29.5239,6.63326,6.73268,2.69026,0.616474
29.3534,6.63796,6.46371,3.1223,0.543876
29.4823,6.60243,6.46758,2.7438,0.441092
29.3395,6.49937,6.53359,3.05068,0.553256
29.4573,6.52719,6.41998,2.9931,0.146894
29.3027,6.5566,6.4564,2.97356,0.432435
29.3133,6.46016,6.43405,2.9688,0.263837
29.3291,6.62966,6.27039,2.79851,0.55705
29.5024,6.54912,6.51133,2.73524,0.355115
29.4326,6.57297,6.67693,3.3791,0.456182
29.3707,6.32886,6.28208,2.9716,0.426999
